"assessid","stockid","stocklong","bioid","biovalue","bioyear","bionotes","bioshort","biolong","biounitsshort","biounitslong","sciname"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","A50max-yr","4","NULL","","A50max","Maximum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","A50min-yr","3","NULL","","A50min","Minimum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-AGE-yr-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-CALC-0-1-2","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","M-1/yr","0.25","NULL","Natural mortality set at 0.25 prior to 1993, after which disease indices implemented","M","Natural mortality","1/yr","per year","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-CALC-0-1","1","NULL","","MAT-CALC","Maturity 50% calculation: 0=by cohort,1=by age","0-1","0=by cohor or 1=by age","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-MODEL-option","Parameter","NULL","Maturity at ages 3 and 4 are estimated as parameters, maturity for ages 5+ set at 100%","MAT-MODEL","Maturity model option","option","option","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-REF-doctype","Hulson et al. 2008","NULL","","MAT-REF","Age at 50% maturity reference","doctype","Reference document for age at 50% maturity","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-SEX-sex","0","NULL","","MAT-SEX","Maturity sex: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","REC-AGE-yr","3","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","REC-ESTIMATED-yr-yr","1980-2006","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","SSB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","TB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","TB-TYPE-0-1","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","Z-AGE-yr-yr","3 to 5+","NULL","With disease indices, two age groups are used to estimate natural mortality","Z-AGE","Ages used to compute total mortality","yr-yr","range of years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50M-yr","3.4","NULL","","A50M","Age at 50% maturity","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50max-yr","4","NULL","","A50max","Maximum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50min-yr","3","NULL","","A50min","Minimum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-AGE-yr-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-CALC-0-1-2","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","Fecundity-N","AVAILABLE","NULL","Estimated from survey, 1971-2007","Fecundity","Fecundity","N","number of eggs","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","Fecundity-rel-eggs/g","AVAILABLE","NULL","Measured several times since 1971","Fecundity-rel","Relative fecundity","eggs/g","Total egg production per gram of ssb","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","M-1/yr","0.2","NULL","Estimated as parameter, split in 1998","M","Natural mortality","1/yr","per year","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-CALC-0-1","1","NULL","","MAT-CALC","Maturity 50% calculation: 0=by cohort,1=by age","0-1","0=by cohor or 1=by age","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-MODEL-option","Logisitc","NULL","Parameters for logistic function of maturity-at-age estimated","MAT-MODEL","Maturity model option","option","option","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-REF-doctype","Hulson 2007 (ch2)","NULL","","MAT-REF","Age at 50% maturity reference","doctype","Reference document for age at 50% maturity","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-SEX-sex","0","NULL","","MAT-SEX","Maturity sex: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-SLOPE-dimensionless","1.7","NULL","","MAT-SLOPE","Slope of maturity function","dimensionless","dimensionless","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","REC-AGE-yr","3","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","REC-ESTIMATED-yr-yr","1978-2007","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","SSB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","TB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","TB-TYPE-0-1","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","Habitat-Habitat","pelagic","2007","","Habitat","Habitat, (pelagic marine; demersal marine; diadromous; wholly freshwater)","Habitat","habitat type","Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","1986-1991","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","1993-1999","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","2004-2006","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","REC-AGE-yr","1","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSB-AGE-yr","2+","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSBlim-MT","200000","2002","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","TB-AGE-yr","1+","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2016-ICESIMP2018","CAPENOR","Capelin Barents Sea","REC-AGE-yr","1","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","SSBlim-MT","2.00E+05","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
