"stockid","stocklong","year","SSB","TBbest","TCbest","TB","TC","R"
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1989,NA,NA,NA,NA,NA,3.18e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1990,171000,213000,NA,213000,NA,2.43e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1991,168000,207000,243,207000,NA,2.53e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1992,160000,2e+05,2150,2e+05,NA,2.8e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1993,151000,194000,4320,194000,NA,2.73e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1994,144000,186000,6040,186000,NA,2.7e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1995,134000,179000,10300,179000,NA,2.14e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1996,127000,165000,8060,165000,NA,1.87e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1997,117000,153000,8870,153000,NA,1.36e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1998,110000,137000,2880,137000,NA,1.46e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",1999,96900,127000,6540,127000,NA,2.02e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2000,85500,119000,10100,119000,NA,1.64e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2001,84200,109000,3340,109000,NA,1.94e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2002,77600,109000,10300,109000,NA,1.86e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2003,81900,103000,380,103000,NA,3.4e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2004,89600,120000,1990,120000,NA,4.51e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2005,111000,147000,374,147000,NA,2.58e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2006,133000,163000,858,163000,NA,3.2e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2007,137000,177000,7890,177000,NA,4.35e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2008,140000,192000,12200,192000,NA,5.18e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2009,153000,209000,11800,209000,NA,2.98e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2010,154000,211000,25500,211000,NA,4.28e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2011,142000,206000,26600,206000,NA,2.96e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2012,136000,166000,20100,166000,NA,2.2e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2013,138000,168000,17600,168000,NA,3.02e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2014,136000,159000,6640,159000,NA,2.58e+08
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2015,129000,168000,16200,168000,NA,NA
"ACMACKSARG","Argentine chub mackerel Southern Argentina",2016,NA,NA,9280,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1989,1.33,NA,5940,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1990,1.41,NA,6490,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1991,0.73,NA,5920,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1992,0.527,NA,3170,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1993,0.653,NA,1980,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1994,0.436,NA,3390,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1995,1.16,NA,13000,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1996,2.05,NA,4590,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1997,1.92,NA,5300,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1998,2.14,NA,11000,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",1999,0.677,NA,7410,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2000,0.779,NA,2500,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2001,1.59,NA,9100,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2002,1.54,NA,8810,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2003,0.715,NA,5270,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2004,0.482,NA,5840,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2005,0.53,NA,4510,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2006,0.777,NA,4490,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2007,1.11,NA,6450,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2008,1.01,NA,3510,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2009,0.233,NA,3010,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2010,0.381,NA,3210,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2011,3.14,NA,10100,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2012,0.492,NA,5590,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2013,0.83,NA,5630,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2014,0.956,NA,10200,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2015,0.639,NA,9420,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2016,0.553,NA,NA,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2017,0.615,NA,NA,NA,NA,NA
"ANCHIXa","Anchovy Portugese Waters -East",2018,0.589,NA,NA,NA,NA,NA
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2002,3510,NA,3270,NA,3270,7.7e+08
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2003,904,NA,245,NA,245,1.86e+08
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2004,1700,NA,746,NA,746,1.88e+08
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2005,1430,NA,518,NA,518,1.1e+08
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2006,1100,NA,637,NA,637,6.1e+07
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2007,420,NA,245,NA,245,47100000
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2008,325,NA,178,NA,178,26100000
"ANCHMEDGSA1","Anchovy Northern Alboran Sea",2009,526,NA,292,NA,292,1.56e+08
"ANCHMEDGSA16","Anchovy South of Sicily",1998,NA,11000,781,11000,781,NA
"ANCHMEDGSA16","Anchovy South of Sicily",1999,NA,12400,2040,12400,2040,NA
"ANCHMEDGSA16","Anchovy South of Sicily",2000,NA,14700,190,14700,190,NA
"ANCHMEDGSA16","Anchovy South of Sicily",2001,NA,13700,1630,13700,1630,NA
"ANCHMEDGSA16","Anchovy South of Sicily",2002,NA,12500,3470,12500,3470,NA
"ANCHMEDGSA16","Anchovy South of Sicily",2003,NA,12600,2220,12600,2220,NA
"ANCHMEDGSA16","Anchovy South of Sicily",2004,10600,12500,1550,12500,1550,4.57e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2005,10500,12500,2390,12500,2390,4.12e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2006,11300,10900,4260,10900,4260,4.41e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2007,15200,9820,4810,9820,4810,7e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2008,12500,8880,1060,8880,1060,3.66e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2009,23200,9590,4300,9590,4300,1.04e+09
"ANCHMEDGSA16","Anchovy South of Sicily",2010,12100,12200,5120,12200,5120,7.47e+08
"ANCHMEDGSA16","Anchovy South of Sicily",2011,10700,9470,4370,9470,4370,3.79e+08
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1975,1060000,1910000,22000,1910000,22000,1.85e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1976,1320000,2350000,28000,2350000,28000,2.24e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1977,1530000,2680000,35600,2680000,35600,2.51e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1978,1440000,2450000,54600,2450000,54600,2.19e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1979,1260000,2100000,50400,2100000,50400,1.83e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1980,1020000,1680000,61300,1680000,61300,1.43e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1981,841000,1380000,33400,1380000,33400,1.18e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1982,679000,1110000,36400,1110000,36400,9.39e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1983,470000,742000,27200,742000,27200,5.89e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1984,296000,452000,28200,452000,28200,3.38e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1985,196000,305000,45200,305000,45200,2.37e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1986,145000,238000,16400,238000,16400,2.01e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1987,140000,241000,4850,241000,4850,2.19e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1988,172000,305000,11600,305000,11600,2.9e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1989,196000,347000,14300,347000,14300,3.28e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1990,198000,345000,14400,345000,14400,3.18e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1991,197000,342000,21400,342000,21400,3.14e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1992,207000,362000,14600,362000,14600,3.37e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1993,261000,468000,14600,468000,14600,4.49e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1994,316000,563000,21400,563000,21400,5.37e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1995,332000,581000,35700,581000,35700,5.41e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1996,327000,569000,30300,569000,30300,5.25e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1997,355000,626000,39000,626000,39000,5.89e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1998,366000,643000,32300,643000,32300,6.01e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",1999,383000,674000,29400,674000,29400,6.31e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2000,351000,606000,38000,606000,38000,5.53e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2001,352000,618000,34000,618000,34000,5.78e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2002,448000,810000,26700,810000,26700,7.87e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2003,658000,1210000,31200,1210000,31200,1.19e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2004,970000,1780000,38900,1780000,38900,1.75e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2005,919000,1590000,57300,1590000,57300,1.46e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2006,728000,1210000,60800,1210000,60800,1.05e+11
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2007,587000,984000,65300,984000,65300,8.62e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2008,595000,1040000,49500,1040000,49500,9.72e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2009,582000,1020000,52600,1020000,52600,9.42e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2010,496000,850000,53700,850000,53700,7.68e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2011,467000,815000,44500,815000,44500,7.56e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2012,452000,794000,36000,794000,36000,7.42e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2013,394000,680000,28000,680000,28000,6.21e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2014,333000,570000,31100,570000,31100,5.15e+10
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)",2015,214000,349000,39400,349000,39400,2.93e+10
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2006,NA,NA,2280,NA,2280,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2007,NA,NA,831,NA,831,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2008,NA,NA,560,NA,560,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2009,NA,NA,731,NA,731,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2010,NA,NA,1050,NA,1050,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2011,NA,NA,931,NA,931,NA
"ANCHMEDGSA19","Anchovy Western Ionian Sea",2012,NA,NA,817,NA,817,NA
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2000,1110,NA,901,NA,901,5.58e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2001,1240,NA,515,NA,515,1.14e+09
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2002,2020,NA,462,NA,462,4.85e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2003,769,NA,1930,NA,1930,7.01e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2004,724,NA,1150,NA,1150,7.71e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2005,823,NA,979,NA,979,6.35e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2006,678,NA,665,NA,665,9.66e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2007,1270,NA,337,NA,337,6.73e+08
"ANCHMEDGSA20","Anchovy Eastern Ionian Sea",2008,1190,NA,1310,NA,1310,6.35e+08
"ANCHMEDGSA22","Anchovy Aegean Sea",2000,13200,NA,9760,NA,9760,1.28e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2001,15900,NA,8230,NA,8230,1.71e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2002,22000,NA,8550,NA,8550,1.57e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2003,28500,NA,14000,NA,14000,1.77e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2004,30500,NA,16100,NA,16100,2.43e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2005,21400,NA,16300,NA,16300,2.64e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2006,20300,NA,22300,NA,22300,2.79e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2007,21100,NA,21500,NA,21500,3.9e+10
"ANCHMEDGSA22","Anchovy Aegean Sea",2008,25600,NA,24500,NA,24500,3.84e+10
"ANCHMEDGSA29","Anchovy Black Sea",1988,549000,NA,393000,NA,393000,5.47e+10
"ANCHMEDGSA29","Anchovy Black Sea",1989,94900,NA,129000,NA,129000,6.56e+10
"ANCHMEDGSA29","Anchovy Black Sea",1990,50200,NA,71100,NA,71100,8.65e+10
"ANCHMEDGSA29","Anchovy Black Sea",1991,108000,NA,84900,NA,84900,1.4e+11
"ANCHMEDGSA29","Anchovy Black Sea",1992,237000,NA,165000,NA,165000,2.13e+11
"ANCHMEDGSA29","Anchovy Black Sea",1993,384000,NA,222000,NA,222000,2.85e+11
"ANCHMEDGSA29","Anchovy Black Sea",1994,540000,NA,280000,NA,280000,3.41e+11
"ANCHMEDGSA29","Anchovy Black Sea",1995,671000,NA,376000,NA,376000,2.47e+11
"ANCHMEDGSA29","Anchovy Black Sea",1996,556000,NA,275000,NA,275000,2.07e+11
"ANCHMEDGSA29","Anchovy Black Sea",1997,533000,NA,220000,NA,220000,2e+11
"ANCHMEDGSA29","Anchovy Black Sea",1998,728000,NA,2e+05,NA,2e+05,2.83e+11
"ANCHMEDGSA29","Anchovy Black Sea",1999,969000,NA,317000,NA,317000,3.34e+11
"ANCHMEDGSA29","Anchovy Black Sea",2000,883000,NA,270000,NA,270000,2.99e+11
"ANCHMEDGSA29","Anchovy Black Sea",2001,1150000,NA,296000,NA,296000,2.3e+11
"ANCHMEDGSA29","Anchovy Black Sea",2002,889000,NA,345000,NA,345000,1.91e+11
"ANCHMEDGSA29","Anchovy Black Sea",2003,663000,NA,278000,NA,278000,1.69e+11
"ANCHMEDGSA29","Anchovy Black Sea",2004,553000,NA,315000,NA,315000,1.08e+11
"ANCHMEDGSA29","Anchovy Black Sea",2005,293000,NA,128000,NA,128000,1.94e+11
"ANCHMEDGSA29","Anchovy Black Sea",2006,481000,NA,226000,NA,226000,2.77e+11
"ANCHMEDGSA29","Anchovy Black Sea",2007,620000,NA,378000,NA,378000,2.07e+11
"ANCHMEDGSA29","Anchovy Black Sea",2008,505000,NA,255000,NA,255000,2e+11
"ANCHMEDGSA29","Anchovy Black Sea",2009,492000,NA,190000,NA,190000,1.55e+11
"ANCHMEDGSA29","Anchovy Black Sea",2010,513000,NA,248000,NA,248000,1.29e+11
"ANCHMEDGSA29","Anchovy Black Sea",2011,387000,NA,238000,NA,238000,1.61e+11
"ANCHMEDGSA29","Anchovy Black Sea",2012,389000,NA,188000,NA,188000,2.51e+11
"ANCHMEDGSA29","Anchovy Black Sea",2013,516000,NA,226000,NA,226000,1.87e+11
"ANCHMEDGSA29","Anchovy Black Sea",2014,416000,NA,157000,NA,157000,1.68e+11
"ANCHMEDGSA6","Anchovy Northern Spain",1945,NA,31400,2810,31400,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1946,NA,45200,2250,45200,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1947,NA,59400,5320,59400,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1948,NA,64500,2680,64500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1949,NA,67500,3270,67500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1950,NA,67900,5610,67900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1951,NA,66700,4350,66700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1952,NA,67100,3970,67100,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1953,NA,67400,2060,67400,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1954,NA,68500,3110,68500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1955,NA,68100,3890,68100,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1956,NA,67600,3620,67600,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1957,NA,67700,1750,67700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1958,NA,68700,3200,68700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1959,NA,68100,2580,68100,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1960,NA,68300,3500,68300,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1961,NA,67900,2140,67900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1962,NA,68500,3590,68500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1963,NA,67900,3590,67900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1964,NA,67800,3080,67800,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1965,NA,68000,3320,68000,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1966,NA,67900,3350,67900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1967,NA,67900,5960,67900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1968,NA,66500,11300,66500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1969,NA,63100,9670,63100,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1970,NA,63000,12000,63000,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1971,NA,61600,8240,61600,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1972,NA,63400,9080,63400,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1973,NA,63500,12000,63500,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1974,NA,61700,12500,61700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1975,NA,60700,19400,60700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1976,NA,55400,20900,55400,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1977,NA,51000,17400,51000,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1978,NA,50800,19700,50800,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1979,NA,48600,24200,48600,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1980,NA,42200,20900,42200,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1981,NA,38700,20100,38700,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1982,NA,35200,22800,35200,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1983,NA,27300,14400,27300,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1984,NA,25900,10900,25900,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1985,NA,28100,7690,28100,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1986,NA,35300,13500,35300,NA,NA
"ANCHMEDGSA6","Anchovy Northern Spain",1987,NA,38500,12600,38500,NA,NA
