"Diet" "Lmean" "A50" "fecundity" "caudal" "body"
"Agonus cataphractus" "benthivorous" 134.9929 2 3000 "rounded" "elongated"
"Amblyraja radiata" "generalist" 389.5133 5.5 50 "continuous" "flat"
"Ammodytidae" "planktivorous" 178.8305 1.5 5000 "forked" "elongated"
"Anguilla anguilla" "generalist" 569.5801 12 2000000 "continuous" "eellike"
"Arnoglossus laterna" "generalist" 119.9471 2 50000 "rounded" "flat"
"Buglossidium luteum" "benthivorous" 99.32075 3 13400 "rounded" "flat"
"Callionymus" "benthivorous" 126.4304 2.5 5000 "rounded" "normal"
"Chelidonichthys lucernus" "generalist" 265.5516 2 100000 "truncated" "normal"
"Cyclopterus lumpus" "planktivorous" 205.2631 5 100000 "truncated" "normal"
"Enchelyopus cimbrius" "generalist" 231.2612 3 30000 "rounded" "elongated"
"Eutrigla gurnardus" "generalist" 169.8607 3 14347 "emarginated" "normal"
"Gadus morhua" "piscivorous" 303.4153 3 1000000 "truncated" "normal"
"Glyptocephalus cynoglossus" "benthivorous" 230.224 4.5 100000 "rounded" "flat"
"Gobiidae" "generalist" 73.34998 1 4000 "rounded" "normal"
"Hippoglossoides platessoides" "generalist" 159.8265 10 380000 "rounded" "flat"
"Hyperoplus" "planktivorous" 201.49 2 7000 "forked" "elongated"
"Lepidorhombus whiffiagonis" "generalist" 128.7165 2 300000 "rounded" "flat"
"Limanda limanda" "benthivorous" 186.0364 2.5 150000 "rounded" "flat"
"Lumpenus lampretaeformis" "benthivorous" 226.2099 3 1000 "rounded" "eellike"
"Melanogrammus aeglefinus" "generalist" 222.429 2.5 535000 "emarginated" "normal"
"Merlangius merlangus" "piscivorous" 208.1125 2 400000 "truncated" "normal"
"Merluccius merluccius" "piscivorous" 251.5663 4.4 1000000 "truncated" "elongated"
"Microstomus kitt" "benthivorous" 222.7884 4 200000 "rounded" "flat"
"Mullus barbatus" "benthivorous" 114.0045 1.5 10000 "forked" "normal"
"Mullus surmuletus" "generalist" 121.4012 1.5 10000 "forked" "normal"
"Myoxocephalus quadricornis" "generalist" 189.9378 2 10000 "truncated" "normal"
"Myoxocephalus scorpius" "generalist" 210.0448 2 10000 "rounded" "normal"
"Myxine glutinosa" "benthivorous" 292.5104 3 100 "continuous" "eellike"
"Pholis gunnellus" "benthivorous" 176.19 2 100 "rounded" "eellike"
"Platichthys flesus" "benthivorous" 273.962 2 1000000 "rounded" "flat"
"Pleuronectes platessa" "benthivorous" 258.8258 2.5 552000 "rounded" "flat"
"Pollachius virens" "piscivorous" 298.1495 4.6 2900000 "emarginated" "normal"
"Salmo salar" "piscivorous" 664.15 5 2000 "truncated" "normal"
"Salmo trutta" "piscivorous" 573.5174 2.5 200 "truncated" "normal"
"Scophthalmus maximus" "generalist" 296.2808 3 5000000 "rounded" "flat"
"Scophthalmus rhombus" "generalist" 291.7048 1.6 5000000 "rounded" "flat"
"Solea solea" "benthivorous" 240.2797 3 300000 "rounded" "flat"
"Syngnathidae" "generalist" 257.695 1 65 "rounded" "eellike"
"Trachinus draco" "generalist" 215.0755 1 57600 "truncated" "normal"
"Trisopterus minutus" "generalist" 144.5708 1 10000 "truncated" "normal"
"Zoarces viviparus" "benthivorous" 227.1987 2 100 "continuous" "eellike"
